Player.Name,season,season_copy,player_name_Cal,year,defence_def_rtg,offence,defensive_score,offensive_score,player_name,offensive_ranking,defensive_ranking
cameron-williams-2,2018-19,2018,cameron-williams-2_2018,19,1692.2,-282.72,1590.2152,-114.07618,cameron-williams-2_2018-19,6240,4304
kenny-pittman-1,2018-19,2018,kenny-pittman-1_2018,19,1504.7800000000002,-84.7,1173.4852,-114.105484,kenny-pittman-1_2018-19,6241,6851
jake-hendricks-1,2018-19,2018,jake-hendricks-1_2018,19,1568.48,-33.72,1160.9869,-114.11398,jake-hendricks-1_2018-19,6242,6914
garrett-covington-1,2019-20,2019,garrett-covington-1_2019,20,1262.4,53.83,1449.6232,-114.15155,garrett-covington-1_2019-20,6243,5176
jamir-moultrie-1,2021-22,2021,jamir-moultrie-1_2021,22,575.77,-166.44,959.6196,-114.15837,jamir-moultrie-1_2021-22,6244,7588
nyzaiah-chambers-1,2019-20,2019,nyzaiah-chambers-1_2019,20,1447.86,-45.63,1687.3516,-114.21144,nyzaiah-chambers-1_2019-20,6245,3738
perry-francois-1,2019-20,2019,perry-francois-1_2019,20,1848.3,-97.9,1907.2343,-114.23693,perry-francois-1_2019-20,6246,2415
bryson-mozone-1,2020-21,2020,bryson-mozone-1_2020,21,1970.08,-42.05,1765.9691,-114.30063,bryson-mozone-1_2020-21,6247,3273
nicholas-kratholm-1,2019-20,2019,nicholas-kratholm-1_2019,20,1682.69,-452.76,2014.6903,-114.32934,nicholas-kratholm-1_2019-20,6248,1737
stephan-swenson-1,2021-22,2021,stephan-swenson-1_2021,22,1337.37,121.6,1266.9181,-114.4322,stephan-swenson-1_2021-22,6249,6323
antwuan-butler-1,2018-19,2018,antwuan-butler-1_2018,19,1034.9,-183.4,1313.8857,-114.436195,antwuan-butler-1_2018-19,6250,6052
greg-jones-10,2019-20,2019,greg-jones-10_2019,20,818,-279.62,1190.4409,-114.44141,greg-jones-10_2019-20,6251,6751
nehemiah-benson-1,2021-22,2021,nehemiah-benson-1_2021,22,1610.5,-85.02,1782.6958,-114.44925,nehemiah-benson-1_2021-22,6252,3156
marque-maultsby-1,2019-20,2019,marque-maultsby-1_2019,20,1024.66,-442.8,1551.0543,-114.45525,marque-maultsby-1_2019-20,6253,4535
nana-opoku-1,2018-19,2018,nana-opoku-1_2018,19,1928,-90,1831.017,-114.517525,nana-opoku-1_2018-19,6254,2848
alimamy-koroma-1,2019-20,2019,alimamy-koroma-1_2019,20,2550.44,131.5,2371.3118,-114.52885,alimamy-koroma-1_2019-20,6255,442
cody-john-1,2018-19,2018,cody-john-1_2018,19,1404.52,-243,1383.9082,-114.576805,cody-john-1_2018-19,6256,5608
david-kamwanga-1,2021-22,2021,david-kamwanga-1_2021,22,1427.95,-110.76,1983.3442,-114.61732,david-kamwanga-1_2021-22,6257,1932
billy-brown-1,2018-19,2018,billy-brown-1_2018,19,1441.39,-203.04,1414.9391,-114.7177,billy-brown-1_2018-19,6258,5407
marek-nelson-1,2018-19,2018,marek-nelson-1_2018,19,1461.16,-138.65,1666.7963,-114.72759,marek-nelson-1_2018-19,6259,3856
brent-hank-1,2018-19,2018,brent-hank-1_2018,19,1644.81,-156.24,1928.5249,-114.76086,brent-hank-1_2018-19,6260,2282
grant-weatherford-1,2018-19,2018,grant-weatherford-1_2018,19,1618.12,-326.8,1405.294,-114.78084,grant-weatherford-1_2018-19,6261,5472
greg-summers-2,2018-19,2018,greg-summers-2_2018,19,2124.1,40.1,2025.3977,-114.80102,greg-summers-2_2018-19,6262,1676
lj-owens-1,2019-20,2019,lj-owens-1_2019,20,1092.2,-7.32,1061.8276,-115.014725,lj-owens-1_2019-20,6263,7365
gyasi-powell-1,2021-22,2021,gyasi-powell-1_2021,22,929.77,-500.5,1465.6797,-115.06502,gyasi-powell-1_2021-22,6264,5070
greg-dolan-2,2019-20,2019,greg-dolan-2_2019,20,1461.04,-17.9,1497.9197,-115.07478,greg-dolan-2_2019-20,6265,4852
yahuza-rasas-1,2021-22,2021,yahuza-rasas-1_2021,22,2374.36,-41.65,2142.2834,-115.16572,yahuza-rasas-1_2021-22,6266,1146
harry-morrice-1,2019-20,2019,harry-morrice-1_2019,20,1596.12,-136.29,1910.1998,-115.30663,harry-morrice-1_2019-20,6267,2398
phillip-russell-1,2020-21,2020,phillip-russell-1_2020,21,969.31,-106.2,1253.5991,-115.31518,phillip-russell-1_2020-21,6268,6407
shyquan-gibbs-1,2018-19,2018,shyquan-gibbs-1_2018,19,1092.4,-334.97,1022.55426,-115.31936,shyquan-gibbs-1_2018-19,6269,7467
fletcher-tynen-1,2018-19,2018,fletcher-tynen-1_2018,19,1333.5699999999997,-155.52,1580.8027,-115.355736,fletcher-tynen-1_2018-19,6270,4365
gediminas-mokseckas-1,2020-21,2020,gediminas-mokseckas-1_2020,21,2042.46,-97.01,1598.8434,-115.3607,gediminas-mokseckas-1_2020-21,6271,4261
jesus-cruz-1,2019-20,2019,jesus-cruz-1_2019,20,1498.9300000000003,-240.5,1428.7975,-115.36089,jesus-cruz-1_2019-20,6272,5321
matey-juric-1,2019-20,2019,matey-juric-1_2019,20,1206.2,-146.12,1158.206,-115.425865,matey-juric-1_2019-20,6273,6930
adam-grant-1,2018-19,2018,adam-grant-1_2018,19,1031.59,-24.96,1136.2979,-115.45066,adam-grant-1_2018-19,6274,7041
dearon-tucker-1,2021-22,2021,dearon-tucker-1_2021,22,1968.25,-320.21,2183.5034,-115.45553,dearon-tucker-1_2021-22,6275,973
jakevan-leftridge-1,2020-21,2020,jakevan-leftridge-1_2020,21,1277.8000000000002,-13.68,1685.8607,-115.52251,jakevan-leftridge-1_2020-21,6276,3745
