regression_model,parameter_list,no_of_params
linear_regression,"['player_type', 'games', 'games_started', 'mp_per_g', 'sos', 'trb_per_poss', 'stl_per_poss', 'blk_per_poss', 'pf_per_poss', 'def_rtg', 'per', 'orb_pct', 'drb_pct', 'trb_pct', 'stl_pct', 'Class_n1', 'Team_AdjEM_dif', 'KP_Conf_Dif', 'blk_pct', 'dws', 'ws', 'ws_per_40', 'dbpm', 'bpm', 'Ht', 'DR.', 'Blk.', 'Stl.', 'FC.40']",29
ridge_regression,"['player_type', 'games', 'games_started', 'mp_per_g', 'sos', 'trb_per_poss', 'stl_per_poss', 'blk_per_poss', 'pf_per_poss', 'def_rtg', 'per', 'orb_pct', 'drb_pct', 'trb_pct', 'stl_pct', 'Class_n1', 'Team_AdjEM_dif', 'KP_Conf_Dif', 'blk_pct', 'dws', 'ws', 'ws_per_40', 'dbpm', 'bpm', 'Ht', 'DR.', 'Blk.', 'Stl.', 'FC.40']",29
xg_boost,"['player_type', 'games', 'games_started', 'mp_per_g', 'sos', 'trb_per_poss', 'stl_per_poss', 'blk_per_poss', 'pf_per_poss', 'def_rtg', 'per', 'orb_pct', 'drb_pct', 'trb_pct', 'stl_pct', 'Class_n1', 'Year_dif', 'Team_AdjEM_dif', 'KP_Conf_Dif', 'KP_Rk_Dif', 'blk_pct', 'dws', 'ws', 'ws_per_40', 'dbpm', 'bpm', 'Ht', 'Wt', 'DR.', 'Blk.', 'Stl.', 'FC.40']",32
lg_boost,"['games', 'games_started', 'mp_per_g', 'sos', 'trb_per_poss', 'stl_per_poss', 'blk_per_poss', 'pf_per_poss', 'def_rtg', 'per', 'orb_pct', 'drb_pct', 'trb_pct', 'Class_n1', 'Year_dif', 'Team_AdjEM_dif', 'KP_Conf_Dif', 'KP_Rk_Dif', 'blk_pct', 'dws', 'ws', 'ws_per_40', 'dbpm', 'bpm', 'Ht', 'Wt', 'DR.', 'Blk.', 'Stl.', 'FC.40']",30
