Player.Name,season,defence_def_rtg,predicted_defensive_score,offence,predicted_offensive_score,player_name
abdou-ndiaye-1,2020-21,2107.86,2123.285802635103,9.35,19.991224209660913,abdou-ndiaye-1_2020-21
abdou-tsimbila-1,2020-21,2146.26,2981.8602494434244,-101.75,62.51840634284986,abdou-tsimbila-1_2020-21
abdou-tsimbila-1,2021-22,2846.8,2277.9779180917913,-9.12,-32.22002285484109,abdou-tsimbila-1_2021-22
abdul-ado-1,2021-22,2034.04,2389.994020220135,218.0,152.68555263562484,abdul-ado-1_2021-22
abdul-mohamed-1,2020-21,2546.97,2440.887698344176,46.27,41.4905585034474,abdul-mohamed-1_2020-21
abe-johnson-1,2021-22,2949.82,2121.2539352450176,-46.5,-67.0116505905288,abe-johnson-1_2021-22
abe-kinrade-1,2019-20,1564.3,1698.5564768341055,-149.94,56.622005685574095,abe-kinrade-1_2019-20
abel-porter-1,2018-19,1034.2,1303.3093195170368,25.680000000000003,103.31339560731908,abel-porter-1_2018-19
abou-ousmane-1,2020-21,2266.0,2441.2451774420733,78.39,32.22519817685492,abou-ousmane-1_2020-21
abou-ousmane-1,2021-22,2156.2,2344.5694214737687,207.48,172.3495968782454,abou-ousmane-1_2021-22
aboubacar-traore-1,2021-22,2251.0,2651.627768500246,218.4,240.36492429569523,aboubacar-traore-1_2021-22
abu-kigab-1,2019-20,1911.23,1540.2589290441274,283.82,82.26968692895065,abu-kigab-1_2019-20
abu-kigab-1,2020-21,2133.1,1967.136698014584,628.0,257.76429153778247,abu-kigab-1_2020-21
adam-flagler-1,2018-19,963.88,1204.4992374636481,467.25,167.70178358689225,adam-flagler-1_2018-19
adam-flagler-1,2020-21,841.0,1238.5271816336776,584.64,383.46869930042044,adam-flagler-1_2020-21
adam-flagler-1,2021-22,1079.11,1116.9190824001344,614.64,478.1066652184984,adam-flagler-1_2021-22
adam-grant-1,2018-19,1031.59,1229.816367031353,-24.96,-151.7187116233509,adam-grant-1_2018-19
adam-kunkel-1,2018-19,1011.8199999999998,1129.025065641435,52.43,-69.28706590284543,adam-kunkel-1_2018-19
adam-kunkel-1,2019-20,1067.0500000000002,1036.1573154723778,84.48,118.44488405821966,adam-kunkel-1_2019-20
adam-kunkel-1,2020-21,1304.75,1234.0387754366898,101.46,124.15798305369498,adam-kunkel-1_2020-21
adam-kunkel-1,2021-22,1244.5200000000002,1344.507050524121,306.59,173.27542863332815,adam-kunkel-1_2021-22
adam-lulka-1,2018-19,1303.84,1999.3011447941217,-112.0,-80.37445995025888,adam-lulka-1_2018-19
adam-lulka-1,2019-20,1977.32,1636.6851287812779,-44.7,-109.29704854142432,adam-lulka-1_2019-20
adam-miller-3,2020-21,1032.94,1373.777332355989,-115.36,191.39874938126798,adam-miller-3_2020-21
adam-seiko-1,2018-19,979.69,1117.21196498997,92.14,-20.337029170945925,adam-seiko-1_2018-19
adam-seiko-1,2019-20,1196.6,1118.5312460053233,105.16,75.39529522267361,adam-seiko-1_2019-20
adam-seiko-1,2020-21,958.33,1229.4292195849107,173.25,99.57226117469497,adam-seiko-1_2020-21
adam-seiko-1,2021-22,804.11,1105.4697576824701,173.53,148.571364123926,adam-seiko-1_2021-22
adam-thistlewood-1,2018-19,1368.04,1425.472106544827,175.56,28.150007296227898,adam-thistlewood-1_2018-19
adam-thistlewood-1,2019-20,1428.14,1506.017111402456,259.0,179.02611754620125,adam-thistlewood-1_2019-20
adam-thistlewood-1,2020-21,1673.0,1539.768803552629,-23.4,199.5324752218919,adam-thistlewood-1_2020-21
adama-bal-1,2021-22,1241.25,1239.0307852604942,16.72,93.43393757311958,adama-bal-1_2021-22
