regression_model,parameter_list,no_of_params
linear_regression,"['player_type', 'games', 'games_started', 'fg_pct', 'fg2_pct', 'fg3_pct', 'ft_pct', 'sos', 'fg_per_poss', 'fga_per_poss', 'fg2_per_poss', 'fg2a_per_poss', 'fg3_per_poss', 'fg3a_per_poss', 'ft_per_poss', 'fta_per_poss', 'trb_per_poss', 'ast_per_poss', 'stl_per_poss', 'blk_per_poss', 'tov_per_poss', 'pts_per_poss', 'off_rtg', 'per', 'ts_pct', 'efg_pct', 'fg3a_per_fga_pct', 'fta_per_fga_pct', 'pprod', 'orb_pct', 'drb_pct', 'trb_pct', 'ast_pct', 'stl_pct', 'blk_pct', 'tov_pct', 'usg_pct', 'ows', 'dws', 'ws', 'ws_per_40', 'obpm', 'dbpm', 'bpm', 'year', 'Ht', 'Wt', 'OR.', 'DR.', 'ARate', 'TORate', 'Blk.', 'Stl.', 'FD.40', 'Calc A', 'Calc A2', 'Calc A3', 'Calc B', 'Calc C', 'Calc Overall A', 'Calc Overall A2', 'Calc Overall A3', 'Class_n1', 'Year_dif', 'Team_AdjEM_dif', 'KP_Conf_Dif', 'KP_Rk_Dif']",67
ridge_regression,"['player_type', 'games', 'games_started', 'fg_pct', 'fg2_pct', 'fg3_pct', 'ft_pct', 'sos', 'fg_per_poss', 'fga_per_poss', 'fg2_per_poss', 'fg2a_per_poss', 'fg3_per_poss', 'fg3a_per_poss', 'ft_per_poss', 'fta_per_poss', 'trb_per_poss', 'ast_per_poss', 'stl_per_poss', 'blk_per_poss', 'tov_per_poss', 'pts_per_poss', 'off_rtg', 'per', 'ts_pct', 'efg_pct', 'fg3a_per_fga_pct', 'fta_per_fga_pct', 'pprod', 'orb_pct', 'drb_pct', 'trb_pct', 'ast_pct', 'stl_pct', 'blk_pct', 'tov_pct', 'usg_pct', 'ows', 'dws', 'ws', 'ws_per_40', 'obpm', 'dbpm', 'bpm', 'year', 'Ht', 'Wt', 'OR.', 'DR.', 'ARate', 'TORate', 'Blk.', 'Stl.', 'FD.40', 'Calc A', 'Calc A2', 'Calc A3', 'Calc B', 'Calc C', 'Calc Overall A', 'Calc Overall A2', 'Calc Overall A3', 'Class_n1', 'Team_AdjEM_dif', 'KP_Conf_Dif']",65
xg_boost,"['sos', 'dws', 'ws', 'ws_per_40', 'dbpm', 'bpm', 'OR.', 'DR.', 'ARate', 'TORate', 'Blk.', 'FD.40', 'Calc A', 'Calc A2', 'Calc A3', 'Calc B', 'Calc C', 'Calc Overall A', 'Calc Overall A2', 'Calc Overall A3', 'Class_n1', 'Year_dif', 'Team_AdjEM_dif', 'KP_Conf_Dif', 'KP_Rk_Dif']",25
lg_boost,"['player_type', 'games', 'games_started', 'fg_pct', 'fg2_pct', 'fg3_pct', 'ft_pct', 'sos', 'fg_per_poss', 'fga_per_poss', 'fg2_per_poss', 'fg2a_per_poss', 'fg3_per_poss', 'fg3a_per_poss', 'ft_per_poss', 'fta_per_poss', 'trb_per_poss', 'ast_per_poss', 'stl_per_poss', 'blk_per_poss', 'tov_per_poss', 'pts_per_poss', 'off_rtg', 'per', 'ts_pct', 'efg_pct', 'fg3a_per_fga_pct', 'fta_per_fga_pct', 'pprod', 'orb_pct', 'drb_pct', 'trb_pct', 'ast_pct', 'blk_pct', 'tov_pct', 'usg_pct', 'ows', 'dws', 'ws', 'ws_per_40', 'obpm', 'dbpm', 'bpm', 'year', 'Ht', 'Wt', 'OR.', 'DR.', 'ARate', 'TORate', 'Blk.', 'Stl.', 'FD.40', 'Calc A', 'Calc A2', 'Calc A3', 'Calc B', 'Calc C', 'Calc Overall A', 'Calc Overall A2', 'Calc Overall A3', 'Class_n1', 'Year_dif', 'Team_AdjEM_dif', 'KP_Conf_Dif', 'KP_Rk_Dif']",66
